Datatime, ip
2019-09-01 22:55:15, 192.168.1.100
2019-09-01 22:57:59, 127.0.0.1
2019-09-01 22:58:24, 
2019-09-01 22:58:38, 
2019-09-01 22:58:57, 
2019-09-01 22:59:57, 
2019-09-01 23:00:48, 
2019-09-01 23:11:08, 
2019-09-01 23:16:30, 192.168.0.102 
2019-09-01 23:17:38, 192.168.0.102 
2019-09-01 23:22:01, 192.168.0.102 
2019-09-01 23:23:01, 192.168.0.102 
2019-09-01 23:26:01, 
2019-09-01 23:28:27, 192.168.1.100 
2019-09-01 23:37:19, 
2019-09-01 23:39:34, 
2019-09-01 23:50:15, 
2019-09-01 23:51:57, 
2019-09-01 23:57:17, 192.168.0.102 
2019-09-01 23:58:59, 192.168.0.102 
2019-09-02 00:05:01, 192.168.0.102 
2019-09-02 00:50:01, 192.168.0.102 
2019-09-02 01:00:01, 192.168.0.102 
2019-09-02 01:10:01, 192.168.0.102 
2019-09-02 01:20:01, 192.168.0.102 
2019-09-02 01:30:01, 192.168.0.102 
2019-09-02 01:40:01, 192.168.0.102 
2019-09-02 01:50:02, 192.168.0.102 
2019-09-02 02:00:01, 192.168.0.102 
2019-09-02 02:10:01, 192.168.0.102 
2019-09-02 02:20:01, 192.168.0.102 
2019-09-02 02:30:01, 192.168.0.102 
2019-09-02 02:40:01, 192.168.0.102 
2019-09-02 02:50:01, 192.168.0.102 
2019-09-02 03:00:01, 192.168.0.102 
2019-09-02 03:10:01, 192.168.0.102 
2019-09-02 03:20:01, 192.168.0.102 
2019-09-02 03:30:01, 192.168.0.102 
2019-09-02 03:40:01, 192.168.0.102 
2019-09-02 03:50:01, 192.168.0.102 
2019-09-02 04:00:01, 192.168.0.102 
2019-09-02 04:10:01, 192.168.0.102 
2019-09-02 04:20:01, 192.168.0.102 
2019-09-02 04:30:01, 192.168.0.102 
2019-09-02 04:40:01, 192.168.0.102 
2019-09-02 04:50:01, 192.168.0.102 
2019-09-02 05:00:01, 192.168.0.102 
2019-09-02 05:10:01, 192.168.0.102 
2019-09-02 05:20:01, 192.168.0.102 
2019-09-02 05:30:01, 192.168.0.102 
2019-09-02 05:40:01, 192.168.0.102 
2019-09-02 05:50:01, 192.168.0.102 
2019-09-02 06:00:01, 192.168.0.102 
2019-09-02 06:10:01, 192.168.0.102 
2019-09-02 06:20:01, 192.168.0.102 
2019-09-02 06:30:01, 192.168.0.102 
2019-09-02 06:40:01, 192.168.0.102 
2019-09-02 06:50:01, 192.168.0.102 
2019-09-02 07:00:01, 192.168.0.102 
2019-09-02 07:10:01, 192.168.0.102 
2019-09-02 07:20:01, 192.168.0.102 
2019-09-02 07:30:01, 192.168.0.102 
2019-09-02 07:40:01, 192.168.0.102 
2019-09-02 07:50:01, 192.168.0.102 
2019-09-02 08:00:02, 192.168.0.102 
2019-09-02 08:10:01, 192.168.0.102 
2019-09-02 08:20:01, 192.168.0.102 
2019-09-02 08:30:01, 192.168.0.102 
2019-09-02 08:40:01, 192.168.0.102 
2019-09-02 08:50:01, 192.168.0.102 
2019-09-02 09:00:01, 192.168.0.102 
2019-09-02 09:10:01, 192.168.0.102 
2019-09-02 09:20:01, 192.168.0.102 
2019-09-02 09:30:01, 192.168.0.102 
2019-09-02 09:40:01, 192.168.0.102 
2019-09-02 09:50:01, 192.168.0.102 
2019-09-02 10:00:01, 192.168.0.102 
2019-09-02 10:10:01, 192.168.0.102 
2019-09-02 10:20:01, 192.168.0.102 
2019-09-02 10:30:01, 192.168.0.102 
2019-09-02 10:40:01, 192.168.0.102 
2019-09-02 10:50:01, 192.168.0.102 
2019-09-02 11:00:01, 192.168.0.102 
2019-09-02 11:10:01, 192.168.0.102 
2019-09-02 11:20:01, 192.168.0.102 
2019-09-02 11:30:01, 192.168.0.102 
2019-09-02 11:40:01, 192.168.0.102 
2019-09-02 11:50:01, 192.168.0.102 
2019-09-02 12:00:01, 192.168.0.102 
2019-09-02 12:10:01, 192.168.0.102 
2019-09-02 12:20:01, 192.168.0.102 
2019-09-02 12:30:01, 192.168.0.102 
2019-09-02 12:40:01, 192.168.0.102 
2019-09-02 12:50:02, 192.168.0.102 
2019-09-02 13:00:01, 192.168.0.102 
2019-09-02 13:10:01, 192.168.0.102 
2019-09-02 13:20:01, 192.168.0.102 
2019-09-02 13:30:01, 192.168.0.102 
2019-09-02 13:40:01, 192.168.0.102 
2019-09-02 13:50:01, 192.168.0.102 
2019-09-02 14:00:01, 192.168.0.102 
2019-09-02 14:10:01, 192.168.0.102 
2019-09-02 14:20:02, 192.168.0.102 
2019-09-02 14:30:01, 192.168.0.102 
2019-09-02 14:40:01, 192.168.0.102 
2019-09-02 14:50:01, 192.168.0.102 
2019-09-02 15:00:01, 192.168.0.102 
2019-09-02 15:10:01, 192.168.0.102 
2019-09-02 15:20:01, 192.168.0.102 
2019-09-02 15:30:01, 192.168.0.102 
2019-09-02 15:40:01, 192.168.0.102 
2019-09-02 15:50:01, 192.168.0.102 
2019-09-02 16:00:01, 192.168.0.102 
2019-09-02 16:10:01, 192.168.0.102 
2019-09-02 16:20:01, 192.168.0.102 
2019-09-02 16:30:01, 192.168.0.102 
2019-09-02 16:40:01, 192.168.0.102 
2019-09-02 16:50:01, 192.168.0.102 
2019-09-02 17:00:01, 192.168.0.102 
2019-09-02 17:10:01, 192.168.0.102 
2019-09-02 17:20:01, 192.168.0.102 
2019-09-02 17:30:02, 192.168.0.102 
2019-09-02 17:40:01, 192.168.0.102 
2019-09-02 17:50:01, 192.168.0.102 
2019-09-02 18:00:01, 192.168.0.102 
2019-09-02 18:10:01, 192.168.0.102 
2019-09-02 18:20:01, 192.168.0.102 
2019-09-02 18:30:01, 192.168.0.102 
2019-09-02 18:40:01, 192.168.0.102 
2019-09-02 18:50:01, 192.168.0.102 
2019-09-02 19:00:01, 192.168.0.102 
2019-09-02 19:10:01, 192.168.0.102 
2019-09-02 19:20:01, 192.168.0.102 
2019-09-02 19:30:01, 192.168.0.102 
2019-09-02 19:40:01, 192.168.0.102 
2019-09-02 19:50:02, 192.168.0.102 
2019-09-02 20:00:01, 192.168.0.102 
2019-09-02 20:10:01, 192.168.0.102 
2019-09-02 20:20:01, 192.168.0.102 
2019-09-02 20:30:01, 192.168.0.102 
2019-09-02 20:40:01, 192.168.0.102 
2019-09-02 20:50:01, 192.168.0.102 
2019-09-02 21:00:01, 192.168.0.102 
2019-09-02 21:10:01, 192.168.0.102 
2019-09-02 21:20:01, 192.168.0.102 
2019-09-02 21:30:01, 192.168.0.102 
2019-09-02 21:40:01, 192.168.0.102 
2019-09-02 21:50:02, 192.168.0.102 
2019-09-02 22:00:01, 192.168.0.102 
2019-09-02 22:10:01, 192.168.0.102 
2019-09-02 22:20:01, 192.168.0.102 
2019-09-02 22:30:01, 192.168.0.102 
2019-09-02 22:40:01, 192.168.0.102 
2019-09-02 22:50:01, 192.168.0.102 
2019-09-02 23:00:01, 192.168.0.102 
2019-09-02 23:10:01, 192.168.0.102 
2019-09-02 23:20:01, 192.168.0.102 
2019-09-02 23:30:01, 192.168.0.102 
2019-09-02 23:40:01, 192.168.0.102 
2019-09-02 23:50:01, 192.168.0.102 
2019-09-03 00:00:01, 192.168.0.102 
2019-09-03 00:10:01, 192.168.0.102 
2019-09-03 00:20:01, 192.168.0.102 
2019-09-03 00:30:01, 192.168.0.102 
2019-09-03 00:40:01, 192.168.0.102 
2019-09-03 00:50:01, 192.168.0.102 
2019-09-03 01:00:01, 192.168.0.102 
2019-09-03 01:10:01, 192.168.0.102 
2019-09-03 01:20:01, 192.168.0.102 
2019-09-03 01:30:01, 192.168.0.102 
2019-09-03 01:40:01, 192.168.0.102 
2019-09-03 01:50:01, 192.168.0.102 
2019-09-03 02:00:02, 192.168.0.102 
2019-09-03 02:10:01, 192.168.0.102 
2019-09-03 02:20:01, 192.168.0.102 
2019-09-03 02:30:01, 192.168.0.102 
2019-09-03 02:40:01, 192.168.0.102 
2019-09-03 02:50:01, 192.168.0.102 
2019-09-03 03:00:01, 192.168.0.102 
2019-09-03 03:10:01, 192.168.0.102 
2019-09-03 03:20:01, 192.168.0.102 
2019-09-03 03:30:01, 192.168.0.102 
2019-09-03 03:40:02, 192.168.0.102 
2019-09-03 03:50:01, 192.168.0.102 
2019-09-03 04:00:01, 192.168.0.102 
2019-09-03 04:10:02, 192.168.0.102 
2019-09-03 04:20:01, 192.168.0.102 
2019-09-03 04:30:01, 192.168.0.102 
2019-09-03 04:40:01, 192.168.0.102 
2019-09-03 04:50:01, 192.168.0.102 
2019-09-03 05:00:01, 192.168.0.102 
2019-09-03 05:10:01, 192.168.0.102 
2019-09-03 05:20:01, 192.168.0.102 
2019-09-03 05:30:01, 192.168.0.102 
2019-09-03 05:40:01, 192.168.0.102 
2019-09-03 05:50:01, 192.168.0.102 
2019-09-03 06:00:02, 192.168.0.102 
2019-09-03 06:10:01, 192.168.0.102 
2019-09-03 06:20:02, 192.168.0.102 
2019-09-03 06:30:01, 192.168.0.102 
2019-09-03 06:40:01, 192.168.0.102 
2019-09-03 06:50:02, 192.168.0.102 
2019-09-03 07:00:02, 192.168.0.102 
2019-09-03 07:10:01, 192.168.0.102 
2019-09-03 07:20:01, 192.168.0.102 
2019-09-03 07:30:01, 192.168.0.102 
2019-09-03 07:40:01, 192.168.0.102 
2019-09-03 07:50:01, 192.168.0.102 
2019-09-03 08:00:01, 192.168.0.102 
2019-09-03 08:10:01, 192.168.0.102 
2019-09-03 08:20:01, 192.168.0.102 
2019-09-03 08:30:01, 192.168.0.102 
2019-09-03 08:40:01, 192.168.0.102 
2019-09-03 08:50:01, 192.168.0.102 
2019-09-03 09:00:02, 192.168.0.102 
2019-09-03 09:10:01, 192.168.0.102 
2019-09-03 09:20:01, 192.168.0.102 
2019-09-03 09:30:01, 192.168.0.102 
2019-09-03 09:40:01, 192.168.0.102 
2019-09-03 09:50:01, 192.168.0.102 
2019-09-03 10:00:01, 192.168.0.102 
2019-09-03 10:10:01, 192.168.0.102 
2019-09-03 10:20:01, 192.168.0.102 
2019-09-03 10:30:02, 192.168.0.102 
2019-09-03 10:40:01, 192.168.0.102 
2019-09-03 10:50:01, 192.168.0.102 
2019-09-03 11:00:01, 192.168.0.102 
2019-09-03 11:10:01, 192.168.0.102 
2019-09-03 11:20:01, 192.168.0.102 
2019-09-03 11:30:01, 192.168.0.102 
2019-09-03 11:40:01, 192.168.0.102 
2019-09-03 11:50:01, 192.168.0.102 
2019-09-03 12:00:01, 192.168.0.102 
2019-09-03 12:10:01, 192.168.0.102 
2019-09-03 12:20:01, 192.168.0.102 
2019-09-03 12:30:01, 192.168.0.102 
2019-09-03 12:40:01, 192.168.0.102 
2019-09-03 12:50:01, 192.168.0.102 
2019-09-03 13:00:01, 192.168.0.102 
2019-09-03 13:10:01, 192.168.0.102 
2019-09-03 13:20:01, 192.168.0.102 
2019-09-03 13:30:01, 192.168.0.102 
2019-09-03 13:40:01, 192.168.0.102 
2019-09-03 13:50:02, 192.168.0.102 
2019-09-03 14:00:01, 192.168.0.102 
2019-09-03 14:10:01, 192.168.0.102 
2019-09-03 14:20:01, 192.168.0.102 
2019-09-03 14:30:01, 192.168.0.102 
2019-09-03 14:40:01, 192.168.0.102 
2019-09-03 14:50:01, 192.168.0.102 
2019-09-03 15:00:01, 192.168.0.102 
2019-09-03 15:10:01, 192.168.0.102 
2019-09-03 15:20:01, 192.168.0.102 
2019-09-03 15:30:01, 192.168.0.102 
2019-09-03 15:40:01, 192.168.0.102 
2019-09-03 15:50:01, 192.168.0.102 
2019-09-03 16:00:01, 192.168.0.102 
2019-09-03 16:10:01, 192.168.0.102 
2019-09-03 16:20:01, 192.168.0.102 
2019-09-03 16:30:01, 192.168.0.102 
2019-09-03 16:40:01, 192.168.0.102 
2019-09-03 16:50:01, 192.168.0.102 
2019-09-03 17:00:01, 192.168.0.102 
2019-09-03 17:10:01, 192.168.0.102 
2019-09-03 17:20:01, 192.168.0.102 
2019-09-03 17:30:01, 192.168.0.102 
2019-09-03 17:40:01, 192.168.0.102 
2019-09-03 17:50:01, 192.168.0.102 
2019-09-03 18:00:01, 192.168.0.102 
2019-09-03 18:10:01, 192.168.0.102 
2019-09-03 18:21:06, 192.168.0.102 
2019-09-03 18:32:12, 192.168.0.102 
2019-09-03 18:42:30, 192.168.0.102 
2019-09-03 18:18:46, 
2019-09-03 18:50:20, 192.168.0.102 
2019-09-03 18:50:19, 
2019-09-03 19:00:01, 192.168.0.102 
2019-09-03 19:00:11, 
2019-09-03 19:10:02, 192.168.0.102 
2019-09-03 19:22:53, 192.168.0.102 
2019-09-03 19:32:04, 192.168.0.102 
2019-09-03 19:40:02, 192.168.0.102 
2019-09-03 19:51:03, 192.168.0.102 
2019-09-03 20:00:36, 192.168.0.102 
2019-09-03 20:11:48, 192.168.0.102 
2019-09-03 20:21:46, 192.168.0.102 
2019-09-03 20:31:01, 192.168.0.102 
2019-09-03 20:41:25, 192.168.0.102 
2019-09-03 20:50:40, 192.168.0.102 
2019-09-03 21:01:44, 192.168.0.102 
2019-09-03 21:10:41, 192.168.0.102 
2019-09-03 21:21:31, 192.168.0.102 
2019-09-03 21:31:53, 192.168.0.102 
2019-09-03 21:43:56, 192.168.0.102 
2019-09-03 21:50:38, 192.168.0.102 
2019-09-03 22:00:29, 192.168.0.102 
2019-09-03 22:10:38, 192.168.0.102 
2019-09-03 22:20:43, 192.168.0.102 
2019-09-03 22:30:34, 192.168.0.102 
2019-09-03 22:40:49, 192.168.0.102 
2019-09-03 22:50:46, 192.168.0.102 
2019-09-03 23:01:26, 192.168.0.102 
2019-09-03 23:10:42, 192.168.0.102 
2019-09-03 23:20:59, 192.168.0.102 
2019-09-03 23:33:37, 192.168.0.102 
2019-09-03 23:42:23, 192.168.0.102 
2019-09-03 23:56:37, 192.168.0.102 
2019-09-04 00:07:49, 192.168.0.102 
2019-09-04 00:13:03, 192.168.0.102 
2019-09-04 00:24:33, 192.168.0.102 
2019-09-04 00:32:19, 192.168.0.102 
2019-09-04 00:41:47, 192.168.0.102 
2019-09-04 00:57:38, 192.168.0.102 
2019-09-04 01:07:14, 192.168.0.102 
2019-09-04 01:12:28, 192.168.0.102 
2019-09-04 01:23:34, 192.168.0.102 
2019-09-04 01:32:16, 192.168.0.102 
2019-09-04 01:43:53, 192.168.0.102 
2019-09-04 01:59:56, 192.168.0.102 
2019-09-04 02:29:09, 192.168.0.102 
2019-09-04 02:38:29, 192.168.0.102 
2019-09-04 02:42:42, 192.168.0.102 
2019-09-04 02:52:13, 192.168.0.102 
2019-09-04 03:15:38, 192.168.0.102 
2019-09-04 03:22:40, 192.168.0.102 
2019-09-04 03:32:24, 192.168.0.102 
2019-09-04 03:48:01, 192.168.0.102 
2019-09-04 03:51:50, 192.168.0.102 
2019-09-04 04:07:54, 192.168.0.102 
2019-09-04 04:10:45, 192.168.0.102 
2019-09-04 04:20:54, 192.168.0.102 
2019-09-04 04:30:38, 192.168.0.102 
2019-09-04 04:42:14, 192.168.0.102 
2019-09-04 04:52:34, 192.168.0.102 
2019-09-04 05:03:30, 192.168.0.102 
2019-09-04 05:11:18, 192.168.0.102 
2019-09-04 05:22:08, 192.168.0.102 
2019-09-04 05:33:08, 192.168.0.102 
2019-09-04 05:43:42, 192.168.0.102 
2019-09-04 05:51:32, 192.168.0.102 
2019-09-04 06:02:35, 192.168.0.102 
2019-09-04 06:11:04, 192.168.0.102 
2019-09-04 06:21:06, 192.168.0.102 
2019-09-04 06:31:18, 192.168.0.102 
2019-09-04 06:42:08, 192.168.0.102 
2019-09-04 06:51:53, 192.168.0.102 
2019-09-04 07:00:38, 192.168.0.102 
2019-09-04 07:12:47, 192.168.0.102 
2019-09-04 07:21:22, 192.168.0.102 
2019-09-04 07:33:27, 192.168.0.102 
2019-09-04 07:42:16, 192.168.0.102 
2019-09-04 07:51:37, 192.168.0.102 
2019-09-04 08:10:31, 192.168.0.102 
2019-09-04 08:10:56, 192.168.0.102 
2019-09-04 08:22:14, 192.168.0.102 
2019-09-04 08:36:53, 192.168.0.102 
2019-09-04 08:41:42, 192.168.0.102 
2019-09-04 08:53:44, 192.168.0.102 
2019-09-04 09:06:30, 192.168.0.102 
2019-09-04 09:20:27, 192.168.0.102 
2019-09-04 09:22:50, 192.168.0.102 
2019-09-04 09:33:17, 192.168.0.102 
2019-09-04 09:43:15, 192.168.0.102 
2019-09-04 09:56:00, 192.168.0.102 
2019-09-04 10:00:48, 192.168.0.102 
2019-09-04 10:19:12, 192.168.0.102 
2019-09-04 10:20:57, 192.168.0.102 
2019-09-04 10:31:17, 192.168.0.102 
2019-09-04 10:40:54, 192.168.0.102 
2019-09-04 10:53:49, 192.168.0.102 
2019-09-04 11:05:43, 192.168.0.102 
2019-09-04 11:23:24, 192.168.0.102 
2019-09-04 11:32:48, 192.168.0.102 
2019-09-04 11:51:54, 192.168.0.102 
2019-09-04 11:51:40, 192.168.0.102 
2019-09-04 12:02:41, 192.168.0.102 
2019-09-04 12:14:13, 192.168.0.102 
2019-09-04 12:23:04, 192.168.0.102 
2019-09-04 12:34:35, 192.168.0.102 
2019-09-04 12:44:07, 192.168.0.102 
2019-09-04 12:51:07, 192.168.0.102 
2019-09-04 13:01:48, 192.168.0.102 
2019-09-04 13:12:06, 192.168.0.102 
2019-09-04 13:27:56, 192.168.0.102 
2019-09-04 13:34:01, 192.168.0.102 
2019-09-04 14:01:05, 192.168.0.102 
2019-09-04 14:01:23, 192.168.0.102 
2019-09-04 14:12:13, 192.168.0.102 
2019-09-04 14:32:23, 192.168.0.102 
2019-09-04 14:32:53, 192.168.0.102 
2019-09-04 14:42:56, 192.168.0.102 
2019-09-04 15:01:55, 192.168.0.102 
2019-09-04 15:02:13, 192.168.0.102 
2019-09-04 15:12:13, 192.168.0.102 
2019-09-04 15:22:59, 192.168.0.102 
2019-09-04 15:32:40, 192.168.0.102 
2019-09-04 15:45:20, 192.168.0.102 
2019-09-04 15:54:28, 192.168.0.102 
2019-09-04 16:09:33, 192.168.0.102 
2019-09-04 16:25:03, 192.168.0.102 
2019-09-04 16:27:10, 192.168.0.102 
2019-09-04 16:30:44, 192.168.0.102 
2019-09-04 16:40:49, 192.168.0.102 
2019-09-04 16:56:43, 192.168.0.102 
2019-09-04 17:07:05, 192.168.0.102 
2019-09-04 17:16:36, 192.168.0.102 
2019-09-04 17:26:55, 192.168.0.102 
2019-09-04 17:36:56, 192.168.0.102 
2019-09-04 17:40:55, 192.168.0.102 
2019-09-04 17:52:26, 192.168.0.102 
2019-09-04 18:06:20, 192.168.0.102 
2019-09-04 18:13:10, 192.168.0.102 
2019-09-04 18:24:05, 192.168.0.102 
2019-09-04 18:36:55, 192.168.0.102 
2019-09-04 18:42:43, 192.168.0.102 
2019-09-04 18:55:30, 192.168.0.102 
2019-09-04 19:09:58, 192.168.0.102 
2019-09-04 19:21:15, 192.168.0.102 
2019-09-04 19:36:01, 192.168.0.102 
2019-09-04 19:36:33, 192.168.0.102 
2019-09-04 19:40:46, 192.168.0.102 
2019-09-04 19:56:42, 192.168.0.102 
2019-09-04 20:03:03, 192.168.0.102 
2019-09-04 20:10:54, 192.168.0.102 
2019-09-04 20:20:57, 192.168.0.102 
2019-09-04 20:35:14, 192.168.0.102 
2019-09-04 20:47:51, 192.168.0.102 
2019-09-04 20:53:17, 192.168.0.102 
2019-09-04 21:02:48, 192.168.0.102 
2019-09-04 21:14:56, 192.168.0.102 
2019-09-04 21:22:35, 192.168.0.102 
2019-09-04 21:33:01, 192.168.0.102 
2019-09-04 21:41:09, 192.168.0.102 
2019-09-04 21:54:06, 192.168.0.102 
2019-09-04 22:10:20, 192.168.0.102 
2019-09-04 22:13:07, 192.168.0.102 
2019-09-04 22:26:08, 192.168.0.102 
2019-09-04 22:34:52, 192.168.0.102 
2019-09-04 22:47:17, 192.168.0.102 
2019-09-04 22:50:47, 192.168.0.102 
2019-09-04 23:02:52, 192.168.0.102 
2019-09-04 23:14:15, 192.168.0.102 
2019-09-04 23:24:24, 192.168.0.102 
2019-09-04 23:36:12, 192.168.0.102 
2019-09-04 23:42:03, 192.168.0.102 
2019-09-04 23:54:52, 192.168.0.102 
2019-09-05 00:07:25, 192.168.0.102 
2019-09-05 00:11:19, 192.168.0.102 
2019-09-05 00:21:09, 192.168.0.102 
2019-09-05 00:32:11, 192.168.0.102 
2019-09-05 00:46:41, 192.168.0.102 
2019-09-05 00:51:36, 192.168.0.102 
2019-09-05 01:08:46, 192.168.0.102 
2019-09-05 01:13:36, 192.168.0.102 
2019-09-05 01:20:49, 192.168.0.102 
2019-09-05 01:39:53, 192.168.0.102 
2019-09-05 01:49:03, 192.168.0.102 
2019-09-05 01:54:14, 192.168.0.102 
2019-09-05 02:04:35, 192.168.0.102 
2019-09-05 02:19:34, 192.168.0.102 
2019-09-05 02:22:50, 192.168.0.102 
2019-09-05 02:34:04, 192.168.0.102 
2019-09-05 02:44:28, 192.168.0.102 
2019-09-05 02:51:24, 192.168.0.102 
2019-09-05 03:29:28, 192.168.0.102 
2019-09-05 03:39:46, 192.168.0.102 
2019-09-05 03:40:22, 192.168.0.102 
2019-09-05 03:52:41, 192.168.0.102 
2019-09-05 04:02:09, 192.168.0.102 
2019-09-05 04:23:58, 192.168.0.102 
2019-09-05 04:24:32, 192.168.0.102 
2019-09-05 04:44:24, 192.168.0.102 
2019-09-05 04:55:24, 192.168.0.102 
2019-09-05 05:01:35, 192.168.0.102 
2019-09-05 05:11:55, 192.168.0.102 
2019-09-05 05:26:04, 192.168.0.102 
2019-09-05 05:36:16, 192.168.0.102 
2019-09-05 05:40:40, 192.168.0.102 
2019-09-05 05:53:00, 192.168.0.102 
2019-09-05 06:01:37, 192.168.0.102 
2019-09-05 06:11:57, 192.168.0.102 
2019-09-05 06:23:20, 192.168.0.102 
2019-09-05 06:35:47, 192.168.0.102 
2019-09-05 06:48:25, 192.168.0.102 
2019-09-05 06:51:34, 192.168.0.102 
2019-09-05 07:03:53, 192.168.0.102 
2019-09-05 07:10:31, 192.168.0.102 
2019-09-05 07:21:45, 192.168.0.102 
2019-09-05 07:37:36, 192.168.0.102 
2019-09-05 07:41:23, 192.168.0.102 
2019-09-05 08:03:27, 192.168.0.102 
2019-09-05 08:04:51, 192.168.0.102 
2019-09-05 08:12:51, 192.168.0.102 
2019-09-05 08:33:56, 192.168.0.102 
2019-09-05 08:42:42, 192.168.0.102 
2019-09-05 08:56:33, 192.168.0.102 
2019-09-05 09:00:48, 192.168.0.102 
2019-09-05 09:15:54, 192.168.0.102 
2019-09-05 09:22:59, 192.168.0.102 
2019-09-05 09:32:56, 192.168.0.102 
2019-09-05 09:51:21, 192.168.0.102 
2019-09-05 09:55:41, 192.168.0.102 
2019-09-05 10:03:06, 192.168.0.102 
2019-09-05 10:12:35, 192.168.0.102 
2019-09-05 10:22:29, 192.168.0.102 
2019-09-05 10:40:27, 192.168.0.102 
2019-09-05 10:42:33, 192.168.0.102 
2019-09-05 10:54:17, 192.168.0.102 
2019-09-05 11:06:30, 192.168.0.102 
2019-09-05 11:11:33, 192.168.0.102 
2019-09-05 11:21:44, 192.168.0.102 
2019-09-05 11:30:58, 192.168.0.102 
2019-09-05 11:41:23, 192.168.0.102 
2019-09-05 11:56:31, 192.168.0.102 
2019-09-05 12:01:22, 192.168.0.102 
2019-09-05 12:12:36, 192.168.0.102 
2019-09-05 12:23:04, 192.168.0.102 
2019-09-05 12:39:11, 192.168.0.102 
2019-09-05 12:41:36, 192.168.0.102 
2019-09-05 13:01:47, 192.168.0.102 
2019-09-05 13:05:07, 192.168.0.102 
2019-09-05 13:16:40, 192.168.0.102 
2019-09-05 13:23:44, 192.168.0.102 
2019-09-05 13:34:59, 192.168.0.102 
2019-09-05 13:42:53, 192.168.0.102 
2019-09-05 13:58:52, 192.168.0.102 
2019-09-05 14:01:52, 192.168.0.102 
2019-09-05 14:17:08, 192.168.0.102 
2019-09-05 14:20:56, 192.168.0.102 
2019-09-05 14:31:56, 192.168.0.102 
2019-09-05 14:42:09, 192.168.0.102 
2019-09-05 14:51:57, 192.168.0.102 
2019-09-05 15:02:11, 192.168.0.102 
2019-09-05 15:11:14, 192.168.0.102 
